loss_variant,description,subject,role,roi,mode,best_value,beta_s,beta_c,norm_raw,norm_grid
sign_agree,Sign agreement fraction (V4),sub-01,HC,V4,argmax,0.5,0.0,-60.0,60.0,1.0
sign_agree,Sign agreement fraction (V4),sub-02,HC,V4,argmax,1.0,44.0,-8.0,44.72,0.5659
sign_agree,Sign agreement fraction (V4),sub-03,HC,V4,argmax,0.875,74.0,56.0,92.8,1.3141
sign_agree,Sign agreement fraction (V4),sub-04,HC,V4,argmax,0.75,72.0,60.0,93.72,1.3454
sign_agree,Sign agreement fraction (V4),sub-05,HC,V4,argmax,0.75,74.0,58.0,94.02,1.3379
sign_agree,Sign agreement fraction (V4),sub-06,HC,V4,argmax,0.75,0.0,-44.0,44.0,0.7333
sign_agree,Sign agreement fraction (V4),sub-08,CVD,V4,argmax,0.5,10.0,58.0,58.86,0.9747
sign_agree,Sign agreement fraction (V4),sub-09,CVD,V4,argmax,0.625,0.0,-60.0,60.0,1.0
spearman_r,Spearman ρ (V4),sub-01,HC,V4,argmax,0.619,0.0,-2.0,2.0,0.0333
spearman_r,Spearman ρ (V4),sub-02,HC,V4,argmax,0.7857,0.0,-4.0,4.0,0.0667
spearman_r,Spearman ρ (V4),sub-03,HC,V4,argmax,-0.0238,2.0,24.0,24.08,0.4008
spearman_r,Spearman ρ (V4),sub-04,HC,V4,argmax,0.6905,80.0,-54.0,96.52,1.3454
spearman_r,Spearman ρ (V4),sub-05,HC,V4,argmax,0.2143,70.0,-28.0,75.39,0.9917
spearman_r,Spearman ρ (V4),sub-06,HC,V4,argmax,0.3571,46.0,58.0,74.03,1.1248
spearman_r,Spearman ρ (V4),sub-08,CVD,V4,argmax,0.9286,74.0,-60.0,95.27,1.3622
spearman_r,Spearman ρ (V4),sub-09,CVD,V4,argmax,0.0714,0.0,58.0,58.0,0.9667
pearson_r,Pearson r (V4),sub-01,HC,V4,argmax,0.6954,0.0,-6.0,6.0,0.1
pearson_r,Pearson r (V4),sub-02,HC,V4,argmax,0.6916,0.0,-10.0,10.0,0.1667
pearson_r,Pearson r (V4),sub-03,HC,V4,argmax,0.0032,16.0,-14.0,21.26,0.3073
pearson_r,Pearson r (V4),sub-04,HC,V4,argmax,0.6292,80.0,-60.0,100.0,1.4142
pearson_r,Pearson r (V4),sub-05,HC,V4,argmax,0.0377,80.0,-38.0,88.57,1.1837
pearson_r,Pearson r (V4),sub-06,HC,V4,argmax,0.4634,2.0,-42.0,42.05,0.7004
pearson_r,Pearson r (V4),sub-08,CVD,V4,argmax,0.8646,78.0,-60.0,98.41,1.3966
pearson_r,Pearson r (V4),sub-09,CVD,V4,argmax,0.1071,0.0,60.0,60.0,1.0
l_rank_V1,1 - Spearman ρ (V1),sub-01,HC,V1,argmin,0.3571,76.0,60.0,96.83,1.3793
l_rank_V1,1 - Spearman ρ (V1),sub-02,HC,V1,argmin,0.5952,0.0,-60.0,60.0,1.0
l_rank_V1,1 - Spearman ρ (V1),sub-03,HC,V1,argmin,0.3095,80.0,26.0,84.12,1.0899
l_rank_V1,1 - Spearman ρ (V1),sub-04,HC,V1,argmin,0.2619,0.0,-48.0,48.0,0.8
l_rank_V1,1 - Spearman ρ (V1),sub-05,HC,V1,argmin,0.381,52.0,-30.0,60.03,0.8201
l_rank_V1,1 - Spearman ρ (V1),sub-06,HC,V1,argmin,0.881,0.0,34.0,34.0,0.5667
l_rank_V1,1 - Spearman ρ (V1),sub-08,CVD,V1,argmin,0.0714,68.0,-38.0,77.9,1.06
l_rank_V1,1 - Spearman ρ (V1),sub-09,CVD,V1,argmin,0.2381,38.0,38.0,53.74,0.7917
l_topk_V1,Top-K Jaccard distance (V1),sub-01,HC,V1,argmin,0.5,12.0,60.0,61.19,1.0112
l_topk_V1,Top-K Jaccard distance (V1),sub-02,HC,V1,argmin,0.5,0.0,-60.0,60.0,1.0
l_topk_V1,Top-K Jaccard distance (V1),sub-03,HC,V1,argmin,0.5,0.0,-60.0,60.0,1.0
l_topk_V1,Top-K Jaccard distance (V1),sub-04,HC,V1,argmin,0.5,0.0,-60.0,60.0,1.0
l_topk_V1,Top-K Jaccard distance (V1),sub-05,HC,V1,argmin,0.5,0.0,-60.0,60.0,1.0
l_topk_V1,Top-K Jaccard distance (V1),sub-06,HC,V1,argmin,0.8,0.0,-60.0,60.0,1.0
