roi,group,mean_error,std_error,mean_acc22,std_acc22,mean_acc45,std_acc45,n
V1,HC,46.666666666666664,16.970994863786466,27.078703480161234,9.991957240589636,59.59840347776298,25.055275928381693,6
V1,CVD,42.43333333333334,4.944019956809775,26.74000062059763,2.9340087465723035,67.5925155925156,18.02937342747119,3
V2,HC,56.916666666666664,16.789451053166292,21.142747184900845,5.702326695284666,49.96419530268082,21.822783286115488,6
V2,CVD,55.26666666666667,5.063924696649165,20.472096177227062,1.905497947202219,40.944192354454124,3.810995894404438,3
V3,HC,82.81666666666668,14.095874100837689,13.946347417651479,2.5741687674305784,27.892694835302958,5.148337534861157,6
V3,CVD,78.93333333333334,7.480864477674579,14.343371903299607,1.4377186623999063,28.686743806599214,2.8754373247998126,3
hV4,HC,82.13333333333333,4.64571487143439,13.733067401605874,0.7605313438672969,27.466134803211748,1.5210626877345939,6
hV4,CVD,76.26666666666667,3.9272551907577027,14.776242752361666,0.7389840139991093,29.552485504723332,1.4779680279982186,3
