pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.03,0.0245,8,20
yellow-purple,yellow-purple_sc1,0.5,0.025,0.0269,8,20
blue-purple,blue-purple_sc0,0.8,0.305,0.015,9,20
blue-purple,blue-purple_sc1,0.5,0.38,0.0574,11,20
red-orange,red-orange_sc0,0.8,0.095,0.0512,9,20
red-orange,red-orange_sc1,0.5,0.125,0.0287,9,20
cyan-magenta,cyan-magenta_sc0,0.8,0.06,0.0412,8,24
cyan-magenta,cyan-magenta_sc1,0.5,0.035,0.015,11,20
green-blue,green-blue_sc0,0.8,0.06,0.0224,9,20
green-blue,green-blue_sc1,0.5,0.06,0.0245,11,20
orange-yellow,orange-yellow_sc0,0.8,0.295,0.0743,8,31
orange-yellow,orange-yellow_sc1,0.5,0.27,0.0616,8,21
yellow-green,yellow-green_sc0,0.8,0.14,0.052,8,20
yellow-green,yellow-green_sc1,0.5,0.105,0.032,11,20
red-cyan,red-cyan_sc0,0.8,0.03,0.03,8,25
red-cyan,red-cyan_sc1,0.5,0.02,0.0224,11,20
