method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,203723,858,1.0,0.004211601046519048,546.1158176314426,90.18109788609111,177.03272678056314,3.084829723649729,1475.1200000000006,10,2,858,858,1.0,18.225263416284825,14.844711893591144,358.4132384830936
method3_header_mi,V2,557,203723,557,1.0,0.0027341046420875405,550.1998429084381,91.93761889678069,177.03272678056314,3.1078990473350485,1436.8099999999993,10,2,557,557,1.0,18.14597669967171,15.145821451664444,362.1174933519541
method3_header_mi,V3,115,203723,115,1.0,0.000564491981759546,566.719172705314,54.86386614258095,177.03272678056314,3.2012113410407883,1104.07,10,2,115,115,1.0,14.666501620376273,12.595798938970809,214.05550853206643
method3_header_mi,hV4,70,203723,70,1.0,0.0003436038149840715,555.1200396825398,26.451051200792623,177.03272678056314,3.1356916304555718,463.9599999999999,10,2,70,70,1.0,11.293256378161296,9.432010850294386,137.27275227398772
