method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,203085,858,1.0,0.004224831966910407,544.3219858844859,89.41272963851554,176.6374708831551,3.081577103447957,1474.7200000000005,10,4,858,858,1.0,19.28932761233663,15.696794966051934,379.4514025721601
method3_header_mi,V2,557,203085,557,1.0,0.0027426939458847282,545.8687288051067,93.95877633341696,176.6374708831551,3.090333699162826,1436.5099999999993,10,4,557,557,1.0,17.79493991612968,15.39857575192385,363.5537542115373
method3_header_mi,V3,115,203085,115,1.0,0.000566265356870276,562.8904891304347,60.450739145129965,176.6374708831551,3.186699211192762,1103.6699999999998,10,4,115,115,1.0,15.274682728150891,12.049469456319894,271.7858861144109
method3_header_mi,hV4,70,203085,70,1.0,0.00034468326070364626,557.556498015873,26.12992836554051,176.6374708831551,3.1565018182619595,463.9599999999999,10,4,70,70,1.0,11.164179038954915,8.819485819481109,148.04053306837446
