method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,216289,546,0.6363636363636364,0.002524400223774672,593.5367890211639,65.44740430472483,251.37606807969385,2.3611507394291595,875.3500000000001,08,4,546,546,1.0,22.58271245783212,18.79339672669338,606.5367598820899
method3_header_mi,V2,557,216289,397,0.7127468581687613,0.001835507122414917,560.1055922893927,107.2880771910738,251.37606807969385,2.2281579808616554,923.3,08,4,397,397,1.0,27.10777332297404,27.232198708484276,1162.1172845334388
method3_header_mi,V3,115,216289,114,0.991304347826087,0.0005270725741947117,569.3457906920078,77.56801300029248,251.37606807969385,2.264916445870686,821.7699999999999,08,4,114,114,1.0,28.90176838323048,32.23697532999938,1449.242523395895
method3_header_mi,hV4,70,216289,70,1.0,0.0003236410543300861,540.8796130952381,92.48114631149429,251.37606807969385,2.151675046980856,417.3999999999999,08,4,70,70,1.0,29.84267494718723,33.56299520837748,1838.3790560442048
