method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,217683,551,0.6421911421911422,0.002531203630967967,599.1958938294011,66.59154829322192,248.06117611389038,2.415516620602883,882.5,08,2,551,551,1.0,24.717328486393537,23.15951966204043,746.611967088047
method3_header_mi,V2,557,217683,401,0.7199281867145422,0.001842128232337849,568.2889910640066,101.99237099084263,248.06117611389038,2.2909227472302742,934.0500000000002,08,2,401,401,1.0,28.25990271636487,33.588972880305825,1249.0856431336733
method3_header_mi,V3,115,217683,114,0.991304347826087,0.0005236973029588898,567.6915204678363,81.34025625399619,248.06117611389038,2.2885141857393942,830.7,08,2,114,114,1.0,28.133589213266525,31.685189823850955,1253.0349162372952
method3_header_mi,hV4,70,217683,70,1.0,0.0003215685193607218,543.302976190476,108.14912130315992,248.06117611389038,2.1901975339382957,418.18999999999994,08,2,70,70,1.0,30.29379697491656,37.89655338845346,1442.4392038158103
