method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,217412,560,0.6526806526806527,0.002575754788144169,603.1596354166668,66.24768174117347,248.8716709072074,2.423576911015946,895.1300000000002,08,1,560,560,1.0,22.207828608017024,18.43052359344358,588.0426931941614
method3_header_mi,V2,557,217412,400,0.718132854578097,0.0018398248486744062,570.7836111111111,102.11215095346286,248.8716709072074,2.293485670869826,940.1400000000001,08,1,400,400,1.0,23.48163239101148,23.676642749428964,811.1961501423191
method3_header_mi,V3,115,217412,114,0.991304347826087,0.0005243500818722058,574.5471491228071,86.27945860948817,248.8716709072074,2.3086080751112443,830.9899999999999,08,1,114,114,1.0,24.20357115931836,24.43626902312542,908.070111342367
method3_header_mi,hV4,70,217412,70,1.0,0.0003219693485180211,537.2469246031744,113.14619954096064,248.8716709072074,2.15873073317167,421.34000000000003,08,1,70,70,1.0,24.823942834754558,29.2050535963072,1295.6971974478886
