method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,220736,858,1.0,0.0038869962307915337,581.8403902034039,66.68145926120816,173.60871376257563,3.3514469267891647,1466.9000000000003,03,5,858,858,1.0,22.483871500507185,21.153089717883717,728.9596798868879
method3_header_mi,V2,557,220736,557,1.0,0.0025233763409683967,561.8820368411992,67.74201997184657,173.60871376257563,3.2364852239480313,1429.8999999999996,03,5,557,557,1.0,22.699679512388514,21.79935332481254,687.7305268358309
method3_header_mi,V3,115,220736,115,1.0,0.0005209843432879095,564.2608100059559,41.96635421745981,173.60871376257563,3.2501871465831464,1099.8599999999997,03,5,115,115,1.0,17.086937654330047,17.587946090051496,448.53482808072886
method3_header_mi,hV4,70,220736,70,1.0,0.0003171209046100319,532.4916340508806,81.02235660112234,173.60871376257563,3.0671941661817,463.9399999999999,03,5,70,70,1.0,18.70441761262601,22.81851655439188,786.7987536349862
