method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,217246,672,0.7832167832167832,0.003093267540023752,588.0530753968253,68.28390697745965,241.79095959892368,2.432072217969902,1078.3899999999996,09,2,672,672,1.0,19.235669638059942,16.123137218830127,349.7542717997353
method3_header_mi,V2,557,217246,483,0.8671454219030521,0.0022232860443920717,574.9494263285023,74.57945301537451,241.79095959892368,2.377878094707151,1155.94,09,2,483,483,1.0,19.273402878130703,17.48164544337953,386.72362396139175
method3_header_mi,V3,115,217246,115,1.0,0.0005293538200933504,537.5648550724637,84.80192306294657,241.79095959892368,2.2232628381315904,1010.7099999999997,09,2,115,115,1.0,21.00632466974195,22.384615327055776,482.3894665109366
method3_header_mi,hV4,70,217246,70,1.0,0.00032221536875247413,547.3039682539684,84.80881677096323,241.79095959892368,2.2635419006641997,419.0100000000001,09,2,70,70,1.0,18.21814615500419,18.4053308432925,520.2810745411907
