subject,run,n_volumes,mean_fd,median_fd,max_fd,std_fd,fd_gt_0.5,fd_gt_0.5_pct,fd_gt_0.9,fd_gt_0.9_pct,mean_trans,max_trans,mean_rot,max_rot
01,1,288,0.3368819144329861,0.25856460000000003,1.30809655,0.21207105799165138,59,20.48611111111111,5,1.7361111111111112,0.19893795594907412,0.4064,0.05806917887296279,0.2941376244129253
01,2,288,0.3887369224930555,0.3377054,1.20860917,0.21526387087152804,78,27.083333333333332,10,3.4722222222222223,0.181248475,0.354085,0.07499360280006544,0.3034991818275678
01,3,288,0.2759602671145833,0.242351825,0.8042008,0.1406294400703971,22,7.638888888888889,0,0.0,0.19327616111111112,0.436024,0.07937439712056416,0.2674297697506971
01,4,288,0.36032828562152774,0.2801445,1.3907282,0.22922779776743293,72,25.0,13,4.513888888888888,0.18292808605902777,0.567773,0.09373318392045527,0.5093411452218577
01,5,288,0.3515894311111111,0.2500662249999999,1.5275874499999995,0.248909625059363,69,23.958333333333336,11,3.8194444444444446,0.19925945474537035,0.363968,0.07540919798478003,0.4159627756026166
01,6,288,0.40111944521527776,0.36153759499999993,1.1966112999999998,0.2519310972343493,83,28.819444444444443,13,4.513888888888888,0.17961127822916667,0.466923,0.07431642077370192,0.4030167942216356
02,1,288,0.29927209442708336,0.2568021925,1.04196205,0.19502106925116316,44,15.277777777777779,4,1.3888888888888888,0.16712463297685187,0.701508,0.06902957160522216,0.3542007900764895
02,2,288,0.30114204877430556,0.3029113,0.7759761499999999,0.14903144142182626,25,8.680555555555555,0,0.0,0.14679441209722222,0.313374,0.05227815540300037,0.2022357670317364
02,3,288,0.1728635086605208,0.159916705,0.5920807499999999,0.07704974881277721,3,1.0416666666666665,0,0.0,0.15942436761574075,0.315609,0.04430284130356598,0.2412209613280278
02,4,288,0.19666853724201386,0.172287925,0.7117731500000001,0.10066178428412695,3,1.0416666666666665,0,0.0,0.16480874856481484,0.3545,0.06860284832432732,0.2422184808493506
02,5,288,0.23756330060416664,0.2016366,0.7163933,0.14023700692474564,15,5.208333333333334,0,0.0,0.1591734039351852,0.469194,0.05126780023943452,0.4015975777630966
02,6,288,0.24618768418402778,0.1993663599999999,0.8396397,0.14100275629704725,15,5.208333333333334,0,0.0,0.14775726094907407,0.325412,0.0696774711426614,0.3743454131954941
03,1,288,0.36453702740624994,0.32001769999999996,0.91968631,0.190353090500145,69,23.958333333333336,3,1.0416666666666665,0.11165892841435184,0.267549,0.08983303385692006,0.2909313525913732
03,2,292,0.36696602905684933,0.35332317999999996,1.4057921,0.17624016381050012,71,24.315068493150687,2,0.684931506849315,0.11413263104908676,0.439536,0.05893081200628971,0.2324822090366925
