,sub-01,sub-02,sub-03,sub-05,sub-06,sub-07
sub-01,1.0,-0.10290093048713739,-0.2829775588396278,-0.2386425834701697,0.3771209633278598,0.050355774493705534
sub-02,-0.10290093048713739,1.0,0.30979748221127534,0.11658456486042693,0.008210180623973728,-0.04159824849480022
sub-03,-0.2829775588396278,0.30979748221127534,1.0,0.09578544061302681,-0.12807881773399013,-0.04542966611932129
sub-05,-0.2386425834701697,0.11658456486042693,0.09578544061302681,1.0,-0.3765736179529283,-0.04980842911877395
sub-06,0.3771209633278598,0.008210180623973728,-0.12807881773399013,-0.3765736179529283,1.0,0.20799124247400108
sub-07,0.050355774493705534,-0.04159824849480022,-0.04542966611932129,-0.04980842911877395,0.20799124247400108,1.0
