method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,218463,858,1.0,0.003927438513615578,592.4264236920486,73.25876173606862,180.19837738223663,3.287634618570367,1480.9200000000003,05,5,858,858,1.0,24.476797950694543,21.346854840902836,680.4416705462338
method3_header_mi,V2,557,218463,557,1.0,0.0025496308299345883,579.22087572312,77.69118811830631,180.19837738223663,3.214351228560051,1440.7999999999995,05,5,557,557,1.0,21.56362303050282,18.137661743047037,549.3082958811328
method3_header_mi,V3,115,218463,115,1.0,0.0005264049289811089,578.186564009662,68.33104891340078,180.19837738223663,3.2086113782435075,1106.7199999999998,05,5,115,115,1.0,17.7358500452752,15.16335153351507,369.53176925627974
method3_header_mi,hV4,70,218463,70,1.0,0.00032042039155371846,572.2512896825397,60.873161741097135,180.19837738223663,3.175673932227929,463.9599999999999,05,5,70,70,1.0,14.349282660659885,12.680606928888793,259.63016957181065
