pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,8,24
yellow-purple,yellow-purple_sc1,0.5,0.015,0.015,8,21
blue-purple,blue-purple_sc0,0.8,0.055,0.0403,8,52
blue-purple,blue-purple_sc1,0.5,0.025,0.0269,8,38
red-orange,red-orange_sc0,0.8,0.02,0.0224,8,36
red-orange,red-orange_sc1,0.5,0.015,0.015,8,25
cyan-magenta,cyan-magenta_sc0,0.8,0.015,0.015,8,24
cyan-magenta,cyan-magenta_sc1,0.5,0.015,0.015,8,45
green-blue,green-blue_sc0,0.8,0.02,0.0224,8,35
green-blue,green-blue_sc1,0.5,0.02,0.0224,8,27
orange-yellow,orange-yellow_sc0,0.8,0.035,0.032,8,34
orange-yellow,orange-yellow_sc1,0.5,0.0933,0.0697,8,21
yellow-green,yellow-green_sc0,0.8,0.015,0.015,8,25
yellow-green,yellow-green_sc1,0.5,0.02,0.0224,8,42
red-cyan,red-cyan_sc0,0.8,0.015,0.015,8,24
red-cyan,red-cyan_sc1,0.5,0.015,0.015,8,30
