subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX004,1,1,no_filter,1,red-cyan_sc0,red-cyan,0.65,different,1,0.8246,0
CDX004,1,1,no_filter,2,yellow-green_sc1,yellow-green,0.35,different,1,0.4372,0
CDX004,1,1,no_filter,3,red-orange_sc1,red-orange,0.35,different,1,0.3961,0
CDX004,1,1,no_filter,4,orange-yellow_sc1,orange-yellow,0.35,different,1,1.6417,0
CDX004,1,1,no_filter,5,green-blue_sc0,green-blue,0.65,different,1,0.6082,0
CDX004,1,1,no_filter,6,red-orange_sc1,red-orange,0.2,different,1,0.4863,0
CDX004,1,1,no_filter,7,green-blue_sc0,green-blue,0.5,different,1,0.412,0
CDX004,1,1,no_filter,8,red-orange_sc0,red-orange,0.65,different,1,0.4735,0
CDX004,1,1,no_filter,9,yellow-purple_sc0,yellow-purple,0.65,different,1,0.3382,0
CDX004,1,1,no_filter,10,blue-purple_sc0,blue-purple,0.65,different,1,0.3882,0
CDX004,1,1,no_filter,11,yellow-green_sc1,yellow-green,0.2,different,1,0.8609,0
CDX004,1,1,no_filter,12,red-orange_sc0,red-orange,0.5,different,1,0.5754,0
CDX004,1,1,no_filter,13,blue-purple_sc0,blue-purple,0.5,different,1,0.9055,0
CDX004,1,1,no_filter,14,green-blue_sc1,green-blue,0.35,different,1,0.9268,0
CDX004,1,1,no_filter,15,red-cyan_sc0,red-cyan,0.5,different,1,0.3765,0
CDX004,1,1,no_filter,16,blue-purple_sc0,blue-purple,0.35,different,1,0.5035,0
CDX004,1,1,no_filter,17,red-orange_sc1,red-orange,0.05,different,1,0.6059,0
CDX004,1,1,no_filter,18,red-cyan_sc1,red-cyan,0.35,different,1,0.912,0
CDX004,1,1,no_filter,19,yellow-purple_sc0,yellow-purple,0.5,different,1,0.4889,0
CDX004,1,1,no_filter,20,red-cyan_sc0,red-cyan,0.35,different,1,1.146,0
CDX004,1,1,no_filter,21,green-blue_sc0,green-blue,0.35,different,1,1.1877,0
CDX004,1,1,no_filter,22,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.6875,0
CDX004,1,1,no_filter,23,red-cyan_sc1,red-cyan,0.2,different,1,1.5132,0
CDX004,1,1,no_filter,24,green-blue_sc0,green-blue,0.2,different,1,0.4817,0
CDX004,1,1,no_filter,25,green-blue_sc0,green-blue,0.05,different,1,0.6535,0
CDX004,1,1,no_filter,26,blue-purple_sc1,blue-purple,0.35,different,1,0.5254,0
CDX004,1,1,no_filter,27,red-cyan_sc1,red-cyan,0.05,different,1,0.7566,0
CDX004,1,1,no_filter,28,green-blue_sc0,green-blue,0.0,different,1,2.9112,0
CDX004,1,1,no_filter,29,orange-yellow_sc1,orange-yellow,0.2,different,1,1.2369,0
CDX004,1,1,no_filter,30,blue-purple_sc1,blue-purple,0.2,different,1,0.5361,0
CDX004,1,1,no_filter,31,red-orange_sc1,red-orange,0.0,different,1,1.8334,0
CDX004,1,1,no_filter,32,red-cyan_sc0,red-cyan,0.2,different,1,0.6407,0
CDX004,1,1,no_filter,33,green-blue_sc0,green-blue,0.15,same,0,5.5267,1
CDX004,1,1,no_filter,34,orange-yellow_sc0,orange-yellow,0.65,different,1,0.6435,0
CDX004,1,1,no_filter,35,red-orange_sc1,red-orange,0.15,same,0,6.4842,1
CDX004,1,1,no_filter,36,yellow-green_sc1,yellow-green,0.05,different,1,0.4701,0
CDX004,1,1,no_filter,37,red-orange_sc0,red-orange,0.35,different,1,0.5365,0
CDX004,1,1,no_filter,38,yellow-green_sc1,yellow-green,0.0,different,1,3.2007,0
CDX004,1,1,no_filter,39,yellow-purple_sc0,yellow-purple,0.35,different,1,1.1523,0
CDX004,1,1,no_filter,40,orange-yellow_sc1,orange-yellow,0.05,different,1,0.9305,0
CDX004,1,1,no_filter,41,green-blue_sc0,green-blue,0.12,different,1,0.4607,2
CDX004,1,1,no_filter,42,orange-yellow_sc1,orange-yellow,0.2,same,0,7.4056,1
CDX004,1,1,no_filter,43,yellow-green_sc1,yellow-green,0.0,different,1,0.6801,0
CDX004,1,1,no_filter,44,yellow-purple_sc1,yellow-purple,0.35,different,1,0.4312,0
CDX004,1,1,no_filter,45,cyan-magenta_sc0,cyan-magenta,0.65,different,1,0.3426,0
CDX004,1,1,no_filter,46,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.312,0
CDX004,1,1,no_filter,47,orange-yellow_sc1,orange-yellow,0.17,different,1,1.6406,2
CDX004,1,1,no_filter,48,orange-yellow_sc1,orange-yellow,0.2,same,0,2.5211,3
CDX004,1,1,no_filter,49,yellow-purple_sc0,yellow-purple,0.2,different,1,0.4647,0
CDX004,1,1,no_filter,50,green-blue_sc1,green-blue,0.2,different,1,0.3985,0
CDX004,1,1,no_filter,51,green-blue_sc0,green-blue,0.09,different,1,0.4853,2
CDX004,1,1,no_filter,52,green-blue_sc0,green-blue,0.06,different,1,0.9578,2
CDX004,1,1,no_filter,53,orange-yellow_sc1,orange-yellow,0.17,different,1,1.1687,4
CDX004,1,1,no_filter,54,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.5506,0
CDX004,1,1,no_filter,55,yellow-purple_sc0,yellow-purple,0.05,different,1,0.3708,0
CDX004,1,1,no_filter,56,blue-purple_sc1,blue-purple,0.05,different,1,2.3626,0
CDX004,1,1,no_filter,57,yellow-purple_sc0,yellow-purple,0.0,different,1,0.5892,0
CDX004,1,1,no_filter,58,green-blue_sc1,green-blue,0.05,different,1,0.655,0
CDX004,1,1,no_filter,59,yellow-purple_sc1,yellow-purple,0.2,different,1,0.4469,0
CDX004,1,1,no_filter,60,red-cyan_sc1,red-cyan,0.0,different,1,0.8337,0
CDX004,1,1,no_filter,61,orange-yellow_sc0,orange-yellow,0.5,different,1,2.2834,0
CDX004,1,1,no_filter,62,blue-purple_sc0,blue-purple,0.2,different,1,1.1797,0
CDX004,1,1,no_filter,63,green-blue_sc1,green-blue,0.0,different,1,3.3076,0
CDX004,1,1,no_filter,64,cyan-magenta_sc0,cyan-magenta,0.35,different,1,0.674,0
CDX004,1,1,no_filter,65,blue-purple_sc1,blue-purple,0.0,different,1,5.0041,0
CDX004,1,1,no_filter,66,red-cyan_sc1,red-cyan,0.0,different,1,4.0001,0
CDX004,1,1,no_filter,67,yellow-purple_sc1,yellow-purple,0.05,different,1,0.4714,0
CDX004,1,1,no_filter,68,green-blue_sc1,green-blue,0.0,different,1,1.6242,0
CDX004,1,1,no_filter,69,yellow-green_sc0,yellow-green,0.65,different,1,0.5001,0
CDX004,1,1,no_filter,70,yellow-green_sc0,yellow-green,0.5,different,1,0.3719,0
CDX004,1,1,no_filter,71,orange-yellow_sc0,orange-yellow,0.35,different,1,0.4969,0
CDX004,1,1,no_filter,72,blue-purple_sc1,blue-purple,0.0,different,1,5.7916,0
CDX004,1,1,no_filter,73,orange-yellow_sc1,orange-yellow,0.14,different,1,1.9647,4
CDX004,1,1,no_filter,74,red-orange_sc0,red-orange,0.2,different,1,1.4329,0
CDX004,1,1,no_filter,75,yellow-purple_sc1,yellow-purple,0.0,different,1,0.9982,0
CDX004,1,1,no_filter,76,orange-yellow_sc0,orange-yellow,0.2,different,1,3.3189,0
CDX004,1,1,no_filter,77,blue-purple_sc1,blue-purple,0.0,different,1,3.3582,0
CDX004,1,1,no_filter,78,cyan-magenta_sc0,cyan-magenta,0.2,different,1,2.0324,0
CDX004,1,1,no_filter,79,red-cyan_sc0,red-cyan,0.05,different,1,0.8143,0
CDX004,1,1,no_filter,80,red-orange_sc0,red-orange,0.05,different,1,1.531,0
CDX004,1,1,no_filter,81,red-cyan_sc0,red-cyan,0.0,different,1,0.5618,0
CDX004,1,1,no_filter,82,yellow-purple_sc1,yellow-purple,0.0,different,1,1.9957,0
CDX004,1,1,no_filter,83,red-cyan_sc0,red-cyan,0.0,different,1,3.7825,0
CDX004,1,1,no_filter,84,yellow-green_sc1,yellow-green,0.0,different,1,0.601,0
CDX004,1,1,no_filter,85,blue-purple_sc0,blue-purple,0.05,different,1,0.7843,0
CDX004,1,1,no_filter,86,yellow-purple_sc0,yellow-purple,0.0,different,1,1.1062,0
CDX004,1,1,no_filter,87,cyan-magenta_sc0,cyan-magenta,0.05,different,1,0.5011,0
CDX004,1,1,no_filter,88,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.4089,0
CDX004,1,1,no_filter,89,green-blue_sc0,green-blue,0.03,different,1,1.8316,2
CDX004,1,1,no_filter,90,blue-purple_sc1,blue-purple,0.0,different,1,1.5691,0
