pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.02,0.0224,8,20
yellow-purple,yellow-purple_sc1,0.5,0.035,0.0269,9,20
blue-purple,blue-purple_sc0,0.8,0.125,0.015,11,20
blue-purple,blue-purple_sc1,0.5,0.17,0.0245,10,20
red-orange,red-orange_sc0,0.8,0.075,0.0269,9,20
red-orange,red-orange_sc1,0.5,0.075,0.0269,9,20
cyan-magenta,cyan-magenta_sc0,0.8,0.04,0.0224,8,20
cyan-magenta,cyan-magenta_sc1,0.5,0.035,0.015,12,20
green-blue,green-blue_sc0,0.8,0.145,0.032,11,20
green-blue,green-blue_sc1,0.5,0.165,0.032,9,20
orange-yellow,orange-yellow_sc0,0.8,0.175,0.0269,10,20
orange-yellow,orange-yellow_sc1,0.5,0.21,0.0447,9,20
yellow-green,yellow-green_sc0,0.8,0.125,0.0377,8,20
yellow-green,yellow-green_sc1,0.5,0.13,0.0412,9,20
red-cyan,red-cyan_sc0,0.8,0.015,0.015,8,24
red-cyan,red-cyan_sc1,0.5,0.015,0.015,12,20
