pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.02,0.0224,8,20
yellow-purple,yellow-purple_sc1,0.5,0.03,0.03,8,21
blue-purple,blue-purple_sc0,0.8,0.135,0.0287,10,20
blue-purple,blue-purple_sc1,0.5,0.195,0.0287,8,20
red-orange,red-orange_sc0,0.8,0.2,0.0458,8,25
red-orange,red-orange_sc1,0.5,0.27,0.0714,8,20
cyan-magenta,cyan-magenta_sc0,0.8,0.04,0.0224,8,20
cyan-magenta,cyan-magenta_sc1,0.5,0.055,0.0269,8,20
green-blue,green-blue_sc0,0.8,0.135,0.0634,8,29
green-blue,green-blue_sc1,0.5,0.07,0.0224,11,20
orange-yellow,orange-yellow_sc0,0.8,0.42,0.064,8,25
orange-yellow,orange-yellow_sc1,0.5,0.465,0.0838,8,23
yellow-green,yellow-green_sc0,0.8,0.105,0.0287,10,20
yellow-green,yellow-green_sc1,0.5,0.1,0.0332,8,20
red-cyan,red-cyan_sc0,0.8,0.04,0.0332,8,22
red-cyan,red-cyan_sc1,0.5,0.055,0.032,9,20
