pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,10,20
yellow-purple,yellow-purple_sc1,0.5,0.015,0.015,12,20
blue-purple,blue-purple_sc0,0.8,0.16,0.0447,8,21
blue-purple,blue-purple_sc1,0.5,0.145,0.0403,8,20
red-orange,red-orange_sc0,0.8,0.125,0.0377,8,20
red-orange,red-orange_sc1,0.5,0.135,0.032,11,20
cyan-magenta,cyan-magenta_sc0,0.8,0.045,0.0287,8,20
cyan-magenta,cyan-magenta_sc1,0.5,0.025,0.0269,8,20
green-blue,green-blue_sc0,0.8,0.0683,0.0474,8,20
green-blue,green-blue_sc1,0.5,0.065,0.015,10,20
orange-yellow,orange-yellow_sc0,0.8,0.175,0.0783,8,26
orange-yellow,orange-yellow_sc1,0.5,0.305,0.0287,8,20
yellow-green,yellow-green_sc0,0.8,0.075,0.032,10,20
yellow-green,yellow-green_sc1,0.5,0.065,0.0287,9,20
red-cyan,red-cyan_sc0,0.8,0.06,0.0245,9,20
red-cyan,red-cyan_sc1,0.5,0.015,0.015,11,20
