subj_id,group,session,run,trial,stimulus_label,response_label,correct,rt,color_order
CDX003,1,1,1,1,color_8,color_8,1,2.9007,color_2|color_3|color_5|color_8|color_7|color_4|color_6|color_1
CDX003,1,1,1,2,color_1,color_1,1,2.3978,color_4|color_8|color_3|color_2|color_5|color_1|color_7|color_6
CDX003,1,1,1,3,color_3,color_3,1,3.4087,color_7|color_5|color_2|color_6|color_1|color_4|color_8|color_3
CDX003,1,1,1,4,color_5,color_5,1,1.798,color_8|color_5|color_4|color_2|color_7|color_1|color_3|color_6
CDX003,1,1,1,5,color_6,color_6,1,3.2001,color_3|color_7|color_1|color_6|color_5|color_2|color_4|color_8
CDX003,1,1,1,6,color_7,color_7,1,2.9657,color_6|color_8|color_3|color_4|color_1|color_5|color_7|color_2
CDX003,1,1,1,7,color_1,color_1,1,3.4805,color_2|color_6|color_3|color_4|color_5|color_7|color_8|color_1
CDX003,1,1,1,8,color_1,color_1,1,2.4429,color_7|color_5|color_1|color_3|color_6|color_4|color_8|color_2
CDX003,1,1,1,9,color_2,color_2,1,1.5506,color_8|color_3|color_5|color_1|color_2|color_6|color_4|color_7
CDX003,1,1,1,10,color_6,color_6,1,2.3761,color_2|color_4|color_5|color_1|color_3|color_6|color_7|color_8
CDX003,1,1,1,11,color_3,color_3,1,2.2343,color_7|color_6|color_3|color_2|color_8|color_1|color_4|color_5
CDX003,1,1,1,12,color_3,color_3,1,2.7509,color_6|color_5|color_8|color_3|color_2|color_4|color_7|color_1
CDX003,1,1,1,13,color_1,color_1,1,1.7456,color_5|color_1|color_3|color_6|color_8|color_2|color_4|color_7
CDX003,1,1,1,14,color_4,color_4,1,1.7916,color_5|color_7|color_8|color_3|color_4|color_6|color_1|color_2
CDX003,1,1,1,15,color_1,color_1,1,1.0526,color_1|color_4|color_7|color_3|color_8|color_6|color_5|color_2
CDX003,1,1,1,16,color_8,color_8,1,3.1513,color_2|color_4|color_5|color_1|color_7|color_6|color_3|color_8
CDX003,1,1,1,17,color_6,color_6,1,2.6171,color_5|color_8|color_7|color_6|color_1|color_2|color_3|color_4
CDX003,1,1,1,18,color_4,color_4,1,2.0732,color_8|color_1|color_2|color_3|color_4|color_7|color_6|color_5
CDX003,1,1,1,19,color_3,color_3,1,1.5452,color_6|color_8|color_5|color_4|color_3|color_2|color_7|color_1
CDX003,1,1,1,20,color_7,color_7,1,2.3854,color_6|color_1|color_8|color_5|color_3|color_7|color_2|color_4
CDX003,1,1,1,21,color_7,color_7,1,2.9139,color_8|color_5|color_3|color_4|color_1|color_2|color_7|color_6
CDX003,1,1,1,22,color_2,color_2,1,2.9354,color_8|color_7|color_6|color_5|color_4|color_1|color_2|color_3
CDX003,1,1,1,23,color_8,color_8,1,3.6433,color_1|color_6|color_5|color_4|color_7|color_2|color_3|color_8
CDX003,1,1,1,24,color_7,color_7,1,2.3542,color_8|color_2|color_5|color_3|color_6|color_7|color_1|color_4
CDX003,1,1,1,25,color_6,color_6,1,1.5667,color_3|color_8|color_5|color_4|color_6|color_2|color_1|color_7
CDX003,1,1,1,26,color_8,color_8,1,1.5523,color_3|color_8|color_7|color_1|color_2|color_5|color_6|color_4
CDX003,1,1,1,27,color_8,color_8,1,1.526,color_2|color_3|color_4|color_7|color_8|color_1|color_5|color_6
CDX003,1,1,1,28,color_2,color_2,1,1.2524,color_2|color_3|color_7|color_8|color_4|color_5|color_6|color_1
CDX003,1,1,1,29,color_2,color_2,1,4.1836,color_8|color_3|color_1|color_7|color_4|color_5|color_6|color_2
CDX003,1,1,1,30,color_5,color_5,1,2.3483,color_3|color_6|color_2|color_1|color_7|color_5|color_4|color_8
CDX003,1,1,1,31,color_8,color_8,1,1.4959,color_5|color_3|color_2|color_7|color_8|color_1|color_6|color_4
CDX003,1,1,1,32,color_2,color_2,1,1.5151,color_5|color_2|color_8|color_3|color_1|color_6|color_4|color_7
CDX003,1,1,1,33,color_5,color_5,1,2.5067,color_2|color_3|color_6|color_8|color_1|color_4|color_5|color_7
CDX003,1,1,1,34,color_5,color_5,1,2.7717,color_1|color_3|color_6|color_5|color_8|color_4|color_2|color_7
CDX003,1,1,1,35,color_7,color_7,1,2.8598,color_8|color_5|color_4|color_6|color_3|color_2|color_7|color_1
CDX003,1,1,1,36,color_1,color_1,1,1.4719,color_8|color_5|color_6|color_4|color_1|color_7|color_2|color_3
CDX003,1,1,1,37,color_3,color_3,1,2.2793,color_8|color_6|color_3|color_5|color_7|color_4|color_2|color_1
CDX003,1,1,1,38,color_6,color_6,1,1.5403,color_4|color_7|color_3|color_1|color_6|color_8|color_5|color_2
CDX003,1,1,1,39,color_5,color_5,1,2.8133,color_8|color_6|color_7|color_1|color_3|color_2|color_5|color_4
CDX003,1,1,1,40,color_8,color_8,1,2.3608,color_4|color_2|color_7|color_6|color_3|color_8|color_5|color_1
CDX003,1,1,1,41,color_2,color_2,1,2.0677,color_8|color_4|color_1|color_3|color_6|color_2|color_5|color_7
CDX003,1,1,1,42,color_2,color_2,1,3.6567,color_5|color_4|color_7|color_8|color_1|color_6|color_3|color_2
CDX003,1,1,1,43,color_4,color_4,1,1.8118,color_7|color_3|color_2|color_1|color_4|color_8|color_6|color_5
CDX003,1,1,1,44,color_6,color_6,1,2.322,color_2|color_7|color_6|color_4|color_5|color_8|color_1|color_3
CDX003,1,1,1,45,color_7,color_7,1,1.0375,color_7|color_1|color_3|color_5|color_4|color_6|color_2|color_8
CDX003,1,1,1,46,color_4,color_4,1,1.5532,color_6|color_1|color_5|color_2|color_4|color_3|color_7|color_8
CDX003,1,1,1,47,color_4,color_4,1,2.8814,color_3|color_8|color_6|color_1|color_2|color_5|color_4|color_7
CDX003,1,1,1,48,color_6,color_6,1,1.0294,color_6|color_5|color_7|color_4|color_1|color_3|color_2|color_8
CDX003,1,1,1,49,color_8,color_8,1,2.279,color_1|color_6|color_3|color_2|color_4|color_8|color_7|color_5
CDX003,1,1,1,50,color_7,color_7,1,3.4008,color_6|color_8|color_3|color_4|color_2|color_1|color_5|color_7
CDX003,1,1,1,51,color_1,color_1,1,2.0934,color_3|color_7|color_6|color_2|color_8|color_1|color_5|color_4
CDX003,1,1,1,52,color_5,color_5,1,2.3444,color_7|color_1|color_3|color_4|color_8|color_5|color_6|color_2
CDX003,1,1,1,53,color_3,color_3,1,2.903,color_2|color_6|color_7|color_3|color_8|color_5|color_1|color_4
CDX003,1,1,1,54,color_6,color_6,1,2.0288,color_1|color_7|color_6|color_4|color_2|color_8|color_3|color_5
CDX003,1,1,1,55,color_3,color_3,1,1.5021,color_7|color_1|color_8|color_4|color_3|color_6|color_5|color_2
CDX003,1,1,1,56,color_2,color_2,1,1.5488,color_4|color_7|color_8|color_5|color_2|color_6|color_1|color_3
CDX003,1,1,1,57,color_4,color_4,1,2.2302,color_2|color_8|color_6|color_3|color_1|color_4|color_5|color_7
CDX003,1,1,1,58,color_5,color_5,1,3.0204,color_2|color_6|color_1|color_8|color_3|color_7|color_4|color_5
CDX003,1,1,1,59,color_1,color_1,1,2.4762,color_8|color_6|color_2|color_3|color_4|color_5|color_1|color_7
