subject,roi,method_diff,nc_random,nc_oddeven,rdm_reliability,proc_reliability,drift_magnitude,proc_disparity
sub-08,V1,0.23576528005144598,-0.34546504910456377,-0.10969976905311778,-0.09964422550629445,0.18042692939244664,0.0017988327895437175,0.0034452699553706953
sub-08,V2,0.07331330728097017,-0.1068776235066193,-0.18019093078758947,-0.06668856048166392,0.6067487684729063,0.0018089934658417459,0.0032710053675671052
sub-08,V4,0.5332654994182628,-0.13194237804344403,-0.6652078774617068,-0.15573891625615766,0.8186808976464148,0.0023005664850371016,0.0027375789199039044
sub-08,V3,0.07196196585530573,-0.3415271832466101,-0.26956521739130435,-0.13231527093596057,0.3662999452654625,0.0017716335491264293,0.0027373269433416058
sub-01,V1,0.6021650665592776,-0.18810256655927762,0.4140625,0.08755883962780514,0.1530487137383689,0.0016497319414798762,0.0027472339052321206
sub-01,V2,0.6607190311904163,0.3524436047848572,-0.30827542640555905,0.04018336070060208,0.1803639846743295,0.0016025023744131413,0.0028029582658627788
sub-01,V4,0.6154972288402518,0.1746154653131978,-0.44088176352705405,-0.042482211275314714,0.580511767925561,0.0015156240929870065,0.0016668728737718429
sub-01,V3,0.6438605377391684,-0.47654936832402534,-1.1204099060631938,-0.27574165298303227,-0.12194307608100712,0.0013504544306240142,0.001646284738912475
sub-06,V1,0.39619820993644755,-0.04958492259367288,-0.4457831325301204,-0.10322933771209632,0.47854132457580734,0.0015092172994539666,0.0024706174048300185
sub-06,V2,0.49644625167901396,-0.08224111599917942,-0.5786873676781934,-0.13195402298850575,0.6566091954022989,0.0020075102498514543,0.0027290091468673595
sub-06,V4,0.29878123214087304,-0.0754877737070802,-0.37426900584795325,-0.09700328407224959,0.5127750410509031,0.0018010657184812722,0.0015881814713261718
sub-06,V3,0.2691679943532775,-0.35018684435639996,-0.6193548387096774,-0.19272851669403396,0.6335878489326765,0.0017443016214634642,0.0017531904666090994
sub-07,V1,0.4928007546678933,0.3671463044061132,-0.12565445026178013,0.0828680897646415,0.15621237000547344,0.0023935065811136816,0.008679416133718833
sub-07,V2,0.10827280342996859,-0.09425884213965166,-0.20253164556962025,-0.06848111658456486,0.3288587848932676,0.00351898239614026,0.017133997962106667
sub-07,V4,0.18395636185404346,-0.2766496987520171,-0.4606060606060606,-0.15435413245758073,0.14597153804050356,0.003030139240860332,0.009005539299464143
sub-07,V3,0.221764784742354,0.16499018214506322,0.38675496688741723,0.1648248494800219,0.5848549534756431,0.00235616541480753,0.009829395373199988
sub-09,V1,0.014304615677366461,0.36601453325880373,0.3803191489361702,0.2294061302681992,0.6708511220580187,0.0014887765128512203,0.00243470682263518
sub-09,V2,0.16445747970262353,0.07047467167970091,-0.09398280802292262,-0.004178981937602626,0.21213191023535852,0.0014314540390918547,0.0023068229611622163
sub-09,V4,0.43621065369957945,0.10101913012748223,0.5372297838270617,0.21023262178434593,0.5381828133552271,0.0009351229648547613,0.0014446499966772996
sub-09,V3,0.371879007584039,-0.2343977399195274,-0.6062767475035664,-0.16876299945265463,0.3981472359058566,0.0011744341281267514,0.001589879179391306
sub-10,V1,0.35089044688502624,-0.24415469558968944,0.10673575129533679,-0.0262096332785988,0.23318281335522717,0.001398825582848495,0.002753786983109199
sub-10,V2,0.34242387987138767,-0.07994171154043188,0.2624821683309558,0.05631636562671047,0.519671592775041,0.001424912313896793,0.002406099136883318
sub-10,V4,0.6192912185989813,-0.11165048543689318,-0.7309417040358744,-0.16026272577996717,0.3227285166940339,0.0008598293859346211,0.0008160768470558837
sub-10,V3,0.21673292002443578,0.04947313354756743,-0.16725978647686834,-0.025905856595511773,0.3327476737821566,0.0010990464170292711,0.0014286889985585724
sub-05,V1,0.549650467181536,-0.16909953281846404,-0.71875,-0.17116310892172962,0.5777887246852764,0.0018194001187009485,0.004577779799276832
sub-05,V2,0.17886303643753837,-0.275132934012428,-0.45399597044996637,-0.15296661193212918,0.8177011494252873,0.001901155929964894,0.003644945769198164
sub-05,V4,0.21786001925456722,0.025409211514663542,0.24326923076923077,0.07567323481116585,0.5363081554460865,0.0011682221856788627,0.0011861556841624538
sub-05,V3,0.5332248786754112,-0.6331529376157499,-1.166377816291161,-0.30440886699507386,0.19004926108374381,0.0012008239629864607,0.0016989395321616039
sub-02,V1,0.055781369989420765,0.20338966383621046,0.2591710338256312,0.13104269293924464,0.5441899288451013,0.0014379715510064329,0.0022698934180216423
sub-02,V2,0.03762300670830661,-0.03733440385387396,-0.07495741056218057,-0.02722495894909688,-0.03504378762999453,0.0014418503871388023,0.0023427379498531338
sub-02,V4,0.1758413108744424,0.13639887388306335,0.31224018475750576,0.1290968801313629,0.2324822112753147,0.0010581939304235117,0.000782300597568477
sub-02,V3,0.3479991482725954,0.10827461598595961,0.45627376425855504,0.17640120415982483,0.2771264367816092,0.0013121135701103744,0.0012919830349129374
sub-03,V1,0.03400966229076365,0.039468177574606446,0.005458515283842795,0.011434044882320745,0.3222441160372195,0.0018466877728654221,0.0031329062276192394
sub-03,V2,0.13900975110864153,0.19932585598549216,0.3383356070941337,0.15715380405035578,0.588448275862069,0.0019320397689796412,0.0027876711089738714
sub-03,V4,0.21856686650905688,0.20575396143402197,0.42432082794307885,0.19198412698412698,0.9312260536398467,0.0012187674327978303,0.001020420501934551
sub-03,V3,0.15498965310581556,0.06604247931872193,0.22103213242453748,0.07919813902572524,0.1544225506294472,0.0012529216423152075,0.0011118258562991784
sub-04,V1,0.09511936309714,0.2317843299507861,0.1366649668536461,0.10221401204159825,0.5948631636562671,0.0015929643315131577,0.0035286285322821205
sub-04,V2,0.02452647041253392,-0.14033422953239494,-0.11580775911986102,-0.06015051997810618,0.30456212370005475,0.0014995586543122097,0.0028133036218882337
sub-04,V4,0.13177529462744458,-0.054933189364286684,0.0768421052631579,0.006611932129173508,0.733727422003284,0.0010003233582457302,0.0011022822138623144
sub-04,V3,0.23779846873786387,-0.199826614651062,-0.43762508338892586,-0.13518336070060208,-0.2429638752052545,0.001108710184897772,0.0012837342837408736
