method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,244141,321,0.3741258741258741,0.001314813980445726,364.4210907753548,243.9738005068075,169.61604847597175,2.148505958308418,575.1099999999999,07,4,321,321,1.0,21.402643271440297,23.59097423473456,748.092675015347
method3_header_mi,V2,557,244141,256,0.45960502692998206,0.001048574389389738,267.1668972439236,215.08213009209544,169.61604847597175,1.575127469626031,625.5200000000001,07,4,256,256,1.0,22.442521752622287,27.815662895568664,1072.9135198978277
method3_header_mi,V3,115,244141,56,0.48695652173913045,0.00022937564767900516,305.9889632936508,210.6774987877228,169.61604847597175,1.8040095028920449,605.8900000000001,07,4,56,56,1.0,28.49609270697909,31.7847828727031,1647.267534313463
method3_header_mi,hV4,70,244141,18,0.2571428571428571,7.372788675396595e-05,100.7770061728395,54.12746208986313,169.61604847597175,0.5941478243263982,181.20000000000002,07,4,18,18,1.0,16.844442883485875,18.45665891842588,605.9942942543914
