method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors,glm_error
method3_header_mi,V1,858,242880,194,0.2261072261072261,0.0007987483530961792,305.8930591351661,226.36660555815206,173.11524568316773,1.7669908732071224,417.31,07,2,194,194,1.0,17.741045327737424,20.592638712110187,354.99258378617355,
method3_header_mi,V2,557,242880,161,0.289048473967684,0.0006628787878787879,263.78409679089026,192.61858934886357,173.11524568316773,1.5237485049333146,424.44,07,2,161,161,1.0,19.177215858336247,21.080293211837414,415.2743062843454,
method3_header_mi,V3,115,242880,34,0.2956521739130435,0.00013998682476943345,211.4359681372549,190.09923422696406,173.11524568316773,1.2213596052898832,412.69000000000005,07,2,34,34,1.0,16.0135125802476,19.794506428822118,287.739924311347,
method3_header_mi,hV4,70,242880,0,0.0,0.0,0.0,0.0,173.11524568316773,0.0,127.15000000000003,07,2,0,0,0.0,0.0,0.0,0.0,Empty ROI intersection
