method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,237515,129,0.15034965034965034,0.0005431235921941772,269.70776808785524,209.91395873683103,174.95595634895577,1.5415752267954437,329.62999999999994,07,5,129,129,1.0,17.27224099650606,20.051507256805444,536.8231346866017
method3_header_mi,V2,557,237515,120,0.21543985637342908,0.000505231248552723,209.6529803240741,173.7991003143138,174.95595634895577,1.1983186208642929,325.10999999999996,07,5,120,120,1.0,22.02809714022582,28.373044054204737,929.9185603664947
method3_header_mi,V3,115,237515,16,0.1391304347826087,6.73641664736964e-05,159.63606770833334,187.2309311718682,174.95595634895577,0.9124357411983941,293.62000000000006,07,5,16,16,1.0,8.837262173560593,14.641851279342589,107.82562799331104
method3_header_mi,hV4,70,237515,13,0.18571428571428572,5.473338525987833e-05,188.74172008547006,67.16365706297876,174.95595634895577,1.0787956239055851,84.11000000000001,07,5,13,13,1.0,11.542280586959505,11.42488247080143,130.68363476619754
