method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,225160,389,0.4533799533799534,0.001727660330431693,608.3521761639531,77.71370015535786,246.34675884802903,2.469495352846289,661.6699999999998,02,3,389,389,1.0,18.620196236890035,14.47907196206527,309.78564697428254
method3_header_mi,V2,557,225160,318,0.5709156193895871,0.0014123290104814355,580.1273694095038,96.87979200034742,246.34675884802903,2.3549218675427492,695.99,02,3,318,318,1.0,19.39524333325148,15.873063729988662,343.4923017299367
method3_header_mi,V3,115,225160,91,0.7913043478260869,0.0004041570438799076,594.627442002442,56.08647790609269,246.34675884802903,2.4137822830836058,657.62,02,3,91,91,1.0,16.458464506326607,13.383208061320586,283.8411255618316
method3_header_mi,hV4,70,225160,67,0.9571428571428572,0.00029756617516432757,592.1705016583747,59.94803045059946,246.34675884802903,2.403808779248782,375.26000000000005,02,3,67,67,1.0,15.312096623657236,11.982202224704057,137.11774121573873
