method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,224564,386,0.44988344988344986,0.0017188863753762847,611.4087777058146,78.49557962168232,246.42664546323346,2.481098488990453,658.2699999999999,02,4,386,386,1.0,15.923120088124728,12.463224469301968,288.7452006728277
method3_header_mi,V2,557,224564,317,0.5691202872531418,0.0014116243030939954,580.5683271994392,97.72521888439121,246.42664546323346,2.355947856645475,693.6600000000002,02,4,317,317,1.0,18.193551903460698,15.125309586628182,330.70638235004344
method3_header_mi,V3,115,224564,90,0.782608695652174,0.00040077661602037727,592.8593750000001,52.820398237458136,246.42664546323346,2.405824962172989,653.39,02,4,90,90,1.0,16.721374569276797,13.469833304500794,305.6540135504768
method3_header_mi,hV4,70,224564,67,0.9571428571428572,0.0002983559252596142,583.6353130182421,61.03056289992341,246.42664546323346,2.3683936934706185,377.01000000000005,02,4,67,67,1.0,14.871115449839719,12.62383572035576,264.50870742501553
