method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,225855,405,0.47202797202797203,0.0017931858936043037,617.1337448559672,76.29050941302052,246.48753674309233,2.503711761699294,686.27,02,1,405,405,1.0,19.969220726209535,16.79267888051221,514.8399969394077
method3_header_mi,V2,557,225855,335,0.6014362657091562,0.0014832525292776339,586.7393656716417,101.03781633174162,246.48753674309233,2.380401757526528,730.99,02,1,335,335,1.0,21.370329232423657,18.59909569624314,476.63311834381426
method3_header_mi,V3,115,225855,94,0.8173913043478261,0.0004161962320958137,600.6825871749411,49.019372914024714,246.48753674309233,2.4369694107536852,686.2199999999997,02,1,94,94,1.0,17.624263759497545,13.728625465932856,322.15237785797336
method3_header_mi,hV4,70,225855,69,0.9857142857142858,0.00030550574483628875,589.8632246376811,61.99244737609755,246.48753674309233,2.3930752541556717,385.3999999999999,02,1,69,69,1.0,19.90972980211436,18.140327291752474,305.55851525330326
