subject,roi,reliability,p_value,corrected_reliability,n_runs,n_voxels
01,V1,-0.1625615763546798,0.4085230764922808,-0.38823529411764707,6,409
01,V2,-0.04980842911877395,0.801272087786034,-0.10483870967741936,6,222
01,V3,-0.22424144539239638,0.2513160750161113,-0.5781217469289084,6,3
01,hV4,-0.09523809523809523,0.6297529435898366,-0.21052631578947367,6,70
02,V1,-0.29556650246305416,0.12675241271223336,-0.8391608391608391,6,429
02,V2,0.27805145046524354,0.15195491691160518,0.4351177730192719,6,279
02,V3,-0.3240284619594964,0.09253841290139701,-0.9587044534412954,6,58
02,hV4,-0.157088122605364,0.4246910115953333,-0.3727272727272728,6,70
03,V1,-0.14395183360700603,0.46489368946775367,-0.33631713554987214,6,429
03,V2,-0.021893814997263273,0.9119476157286659,-0.04476776720761052,6,279
03,V3,0.12344327472928959,0.5314327232218803,0.21975880314746662,6,58
03,hV4,0.18773946360153257,0.3387314586184603,0.3161290322580645,6,70
05,V1,0.014230979748221127,0.942702597621653,0.028062601187263895,6,429
05,V2,-0.23973727422003283,0.21916580128113317,-0.630669546436285,6,279
05,V3,-0.12205801860974276,0.536084917236463,-0.27805486284289277,6,58
05,hV4,-0.05473453749315818,0.7820638783665188,-0.11580775911986102,6,70
06,V1,0.16310892172961136,0.40692549611221684,0.2804705882352941,6,429
06,V2,-0.13355227148330595,0.4980776464536456,-0.30827542640555905,6,279
06,V3,0.003284072249589491,0.9867673805710813,0.006546644844517184,6,58
06,hV4,-0.09688013136288998,0.6238329434181383,-0.21454545454545454,6,70
07,V1,-0.015873015873015872,0.936103986661121,-0.03225806451612903,6,429
07,V2,-0.3765736179529283,0.04824696574318265,-1.2080772607550483,6,279
07,V3,0.20032840722495895,0.3067253931901872,0.3337893296853625,6,58
07,hV4,0.20415982484948003,0.2973721322043047,0.3390909090909091,6,70
