,sub-01,sub-02,sub-03,sub-05,sub-06,sub-07
sub-01,1.0,-0.20361247947454844,-0.059660645867542425,-0.1346469622331691,0.21839080459770116,-0.25725232621784344
sub-02,-0.20361247947454844,1.0,-0.20306513409961688,0.020251778872468526,-0.015873015873015872,0.17733990147783252
sub-03,-0.059660645867542425,-0.20306513409961688,1.0,-0.12643678160919541,0.0996168582375479,0.006568144499178982
sub-05,-0.1346469622331691,0.020251778872468526,-0.12643678160919541,1.0,0.17077175697865354,0.022988505747126436
sub-06,0.21839080459770116,-0.015873015873015872,0.0996168582375479,0.17077175697865354,1.0,0.2961138478379857
sub-07,-0.25725232621784344,0.17733990147783252,0.006568144499178982,0.022988505747126436,0.2961138478379857,1.0
