condition,normalize_level,motion_type,roi,hrf_l2_norm,hrf_max_abs,amplitude_mean,amplitude_std,voxel_snr_mean,run_correlation_mean,classification_accuracy,reconstruction_error,n_voxels_selected
E1+C0 (Consistent+None),both,none,V1,0.02621574434840672,0.017483087305688316,0.12611730677618072,15.935891565303548,0.4180631229371539,0.0007621252083408202,0.1875,78.27083333333333,429
E1+C0 (Consistent+None),both,none,V2,0.023879225960143156,0.016868398749566495,1.4692373517326014,19.294262097447273,0.4167448678206753,0.004236087422208369,0.3125,90.64583333333333,279
E1+C0 (Consistent+None),both,none,V3,0.08478006334856815,0.05979935944484652,0.7230926359160331,5.125309414750272,0.4470086698066022,0.0884844669028497,0.20833333333333334,88.02083333333333,58
E1+C0 (Consistent+None),both,none,hV4,0.050482864185124585,0.03066967178538775,0.34032737492405957,7.884608167771097,0.43978664438807635,0.013744802243885672,0.10416666666666667,91.54166666666667,67
E1+C1 (Consistent+Cosine),both,cosine,V1,0.019514440160177313,0.012079039004849463,0.34619983584544634,20.106128204985648,0.4250590549759547,-0.0024117457182083924,0.16666666666666666,95.95833333333333,429
E1+C1 (Consistent+Cosine),both,cosine,V2,0.02653797420288703,0.019356589199135896,1.0854079398140541,17.904048922832082,0.4137977175107016,-0.0003410110153503491,0.25,99.25,279
E1+C1 (Consistent+Cosine),both,cosine,V3,0.10455377669771923,0.06596544644272076,0.530001002581432,4.288660589245269,0.4242350523125293,0.0886910452960226,0.2708333333333333,84.41666666666667,58
E1+C1 (Consistent+Cosine),both,cosine,hV4,0.0480338694331104,0.03450837635703136,0.4902802383146675,7.646984887145493,0.43563191640392396,0.00949034340315689,0.08333333333333333,83.66666666666667,67
E2+C0 (Original+None),none,none,V1,0.6491216912481268,0.41620258002412375,0.24276595721783936,16.760340942540477,0.414313245235454,-0.0006830860836184551,0.16666666666666666,78.39583333333333,373
E2+C0 (Original+None),none,none,V2,0.5785969428417207,0.4021211641837454,1.772301531976163,21.205910625067695,0.41527773469047813,0.0036683208942514746,0.2708333333333333,93.4375,252
E2+C0 (Original+None),none,none,V3,2.118924380161625,1.4969282505520254,0.6453651466403526,4.914510275896036,0.438468898182992,0.09469888943385772,0.3125,87.22916666666667,56
E2+C0 (Original+None),none,none,hV4,0.9975052986056574,0.5678410278148901,0.46565227598661263,8.279211176688362,0.43147566629787754,0.009659890748327318,0.0625,89.02083333333333,57
E2+C1 (Original+Cosine),none,cosine,V1,0.4768855512381765,0.3035930193937606,0.5815610860687478,21.67273820749417,0.42228366171174914,-0.004937192905932921,0.14583333333333334,93.9375,372
E2+C1 (Original+Cosine),none,cosine,V2,0.6639451298521272,0.4855894109778929,1.3273772394583294,20.27037625704434,0.4114422409826773,-0.0023009496087529734,0.20833333333333334,108.83333333333333,255
E2+C1 (Original+Cosine),none,cosine,V3,2.634060788563506,1.6167365104778546,0.533823158744298,4.115964541457003,0.4282182266884885,0.09544909576868296,0.25,84.22916666666667,56
E2+C1 (Original+Cosine),none,cosine,hV4,1.0496544677637563,0.7684930104056454,0.7271185145581333,7.821899689652427,0.41982712953605633,0.003859183238826682,0.041666666666666664,78.14583333333333,57
