,mean,mean,mean,mean,std,std,std,std
roi,V1,V2,V3,V4,V1,V2,V3,V4
group,,,,,,,,
CVD,0.5732583561466114,0.5488635924285511,0.5093595070263596,0.6412875028215983,0.15054660792356772,0.07475009364272255,0.15599214272506132,0.2114484322729214
HC,0.38979782936520213,0.39978743713688203,0.44354902450086536,0.5749251778351127,0.06865075411433136,0.08004334581580948,0.10266450139972669,0.09531896337890954
