subj_id,group,session,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
JHKim,1,1,no_filter,251,blue-purple_sc0,blue-purple,0.2,different,1,0.6824,4
JHKim,1,1,no_filter,252,cyan-magenta_sc1,cyan-magenta,0.08,different,1,1.0844,6
JHKim,1,1,no_filter,253,green-blue_sc1,green-blue,0.09,same,0,1.2164,5
JHKim,1,1,no_filter,254,green-blue_sc1,green-blue,0.12,same,0,0.5812,5
JHKim,1,1,no_filter,255,orange-yellow_sc1,orange-yellow,0.32,same,0,1.2098,8
JHKim,1,1,no_filter,256,orange-yellow_sc1,orange-yellow,0.35,same,0,0.6396,8
JHKim,1,1,no_filter,257,red-orange_sc0,red-orange,0.23,same,0,2.2094,5
JHKim,1,1,no_filter,258,cyan-magenta_sc1,cyan-magenta,0.05,different,1,1.1034,6
JHKim,1,1,no_filter,259,yellow-purple_sc0,yellow-purple,0.03,different,1,0.8071,4
JHKim,1,1,no_filter,260,yellow-purple_sc1,yellow-purple,0.0,different,1,0.6986,6
JHKim,1,1,no_filter,261,yellow-purple_sc0,yellow-purple,0.0,different,1,0.4142,4
JHKim,1,1,no_filter,262,yellow-green_sc0,yellow-green,0.14,different,1,0.4336,12
JHKim,1,1,no_filter,263,blue-purple_sc0,blue-purple,0.17,different,1,1.5401,4
JHKim,1,1,no_filter,264,blue-purple_sc0,blue-purple,0.14,different,1,1.7945,4
JHKim,1,1,no_filter,265,blue-purple_sc1,blue-purple,0.08,different,1,0.6313,6
JHKim,1,1,no_filter,266,cyan-magenta_sc1,cyan-magenta,0.08,same,0,0.9588,7
JHKim,1,1,no_filter,267,blue-purple_sc0,blue-purple,0.11,different,1,0.7271,4
JHKim,1,1,no_filter,268,orange-yellow_sc1,orange-yellow,0.38,same,0,0.6804,8
JHKim,1,1,no_filter,269,yellow-purple_sc1,yellow-purple,0.03,same,0,0.5896,7
JHKim,1,1,no_filter,270,blue-purple_sc1,blue-purple,0.11,same,0,0.6776,7
JHKim,1,1,no_filter,271,blue-purple_sc1,blue-purple,0.14,same,0,0.4954,7
JHKim,1,1,no_filter,272,orange-yellow_sc0,orange-yellow,0.41,same,0,0.6007,7
JHKim,1,1,no_filter,273,cyan-magenta_sc1,cyan-magenta,0.05,different,1,1.1089,8
JHKim,1,1,no_filter,274,orange-yellow_sc1,orange-yellow,0.35,different,1,0.6322,9
