Color,L,a,b,Designed_Hue_deg,Measured_Hue_deg,Difference_deg
color_1,75,-40.0,0.0,180.0,182.14205305257244,2.142053052572436
color_2,75,-28.28,-28.28,225.0,287.97902618706973,62.979026187069735
color_3,75,0.0,-40.0,270.0,305.22654630875957,35.226546308759566
color_4,75,28.28,-28.28,315.0,330.2047217874083,15.204721787408289
color_5,75,40.0,0.0,0.0,35.26950080526048,35.26950080526048
color_6,75,28.28,28.28,45.0,73.36506145428888,28.365061454288877
color_7,75,0.0,40.0,90.0,125.5851456393351,35.585145639335096
color_8,75,-28.28,28.28,135.0,143.90909454565278,8.909094545652778
