method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,221334,568,0.662004662004662,0.0025662573305502093,603.3240536971831,92.58952469657599,253.8172691560668,2.37700159529418,899.9100000000001,01,1,568,568,1.0,21.229962948797695,17.262888056352327,563.7570779294193
method3_header_mi,V2,557,221334,402,0.7217235188509874,0.0018162595895795494,600.7943183388612,100.21732675402791,253.8172691560668,2.367034837056125,952.0799999999999,01,1,402,402,1.0,21.705010066564405,17.652087459706927,583.2314810040136
method3_header_mi,V3,115,221334,106,0.9217391304347826,0.00047891422013789114,619.1714819182389,43.034495277670416,253.8172691560668,2.4394379625033458,889.3399999999999,01,1,106,106,1.0,18.541077786566838,14.270799773379618,401.3230344855521
method3_header_mi,hV4,70,221334,67,0.9571428571428572,0.00030270993159659155,593.321050995025,57.52141160970213,253.8172691560668,2.337591342652909,409.12,01,1,67,67,1.0,15.615456930669728,13.04432008309064,317.1935088182151
