method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,221001,493,0.5745920745920746,0.002230759136836485,595.1167666779356,90.43848135146857,254.5885142268084,2.337563296935527,789.6399999999998,01,6,493,493,1.0,20.337142819147846,17.009780929280346,546.5103319718745
method3_header_mi,V2,557,221001,373,0.6696588868940754,0.001687775168438152,591.3468312481382,101.09408078270337,254.5885142268084,2.322755341277171,833.7800000000002,01,6,373,373,1.0,19.125052900691447,15.752073195017022,470.68452734566296
method3_header_mi,V3,115,221001,100,0.8695652173913043,0.0004524866403319442,613.1310416666666,43.30351409751268,254.5885142268084,2.40832169325769,795.1399999999999,01,6,100,100,1.0,16.478447394532214,13.071094476023967,383.9705700938633
method3_header_mi,hV4,70,221001,57,0.8142857142857143,0.0002579173849892082,595.7414108187135,60.59801360417865,254.5885142268084,2.340016841011052,362.3,01,6,57,57,1.0,13.507983640543898,11.969545359558076,266.61342383821426
