method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,221143,551,0.6421911421911422,0.0024916004576224435,598.6561176648519,92.9640053697527,253.998628338526,2.356926577048168,871.25,01,2,551,551,1.0,22.02797851416974,18.283957785299524,569.1655454049802
method3_header_mi,V2,557,221143,398,0.7145421903052065,0.0017997404394441605,589.4021496370743,100.32439405519214,253.998628338526,2.320493435309135,915.56,01,2,398,398,1.0,21.394993524272095,18.467363707259995,579.9439086050002
method3_header_mi,V3,115,221143,103,0.8956521739130435,0.00046576197302198127,615.5587243797195,47.10929831086654,253.998628338526,2.4234726321407964,856.11,01,2,103,103,1.0,19.421007050808328,16.10578483011836,457.0445329546404
method3_header_mi,hV4,70,221143,67,0.9571428571428572,0.0003029713805094441,586.1285758706468,63.12947117074846,253.998628338526,2.3076052800153803,400.72999999999996,01,2,67,67,1.0,20.75651108167126,19.873581965023337,633.1199977293115
