method,roi,roi_voxels,bold_brain_voxels,intersection_voxels,roi_coverage_ratio,bold_in_roi_ratio,mean_signal_in_roi,std_signal_in_roi,mean_signal_in_brain,signal_ratio_roi_vs_brain,weighted_overlap,subject,run,glm_n_roi_voxels,glm_n_valid_voxels,glm_valid_ratio,glm_mean_amplitude,glm_std_amplitude,glm_mean_variance_across_colors
method3_header_mi,V1,858,220136,514,0.5990675990675991,0.002334920231129847,589.8398657047126,95.2646648032112,255.44414286319966,2.309075710616684,821.4499999999998,01,5,514,514,1.0,19.986095549869724,16.82024293366291,417.2444521399466
method3_header_mi,V2,557,220136,384,0.6894075403949731,0.0017443762038012866,583.182716652199,102.10759871031807,255.44414286319966,2.283014635275925,866.7500000000003,01,5,384,384,1.0,19.89190964085306,16.68342085733803,399.55064483098477
method3_header_mi,V3,115,220136,102,0.8869565217391304,0.0004633499291347167,607.6922317538126,47.38600894578335,255.44414286319966,2.378963263523547,821.3799999999999,01,5,102,102,1.0,17.630579532524965,14.14012774342061,272.5004432296423
method3_header_mi,hV4,70,220136,60,0.8571428571428571,0.000272558781843951,583.0160300925926,65.16042821191174,255.44414286319966,2.2823620990394775,377.5,01,5,60,60,1.0,19.99055138974495,19.202053751504188,251.71177127637426
