,sub-01,sub-02,sub-03,sub-05,sub-06,sub-07
sub-01,1.0,-0.10344827586206896,0.16803503010399565,0.0629447181171319,-0.02955665024630542,-0.13026819923371646
sub-02,-0.10344827586206896,1.0,-0.0016420361247947454,-0.15270935960591134,0.11056376573617953,0.026272577996715927
sub-03,0.16803503010399565,-0.0016420361247947454,1.0,0.16146688560481665,0.04597701149425287,-0.21127531472359057
sub-05,0.0629447181171319,-0.15270935960591134,0.16146688560481665,1.0,0.07334428024083196,-0.0049261083743842365
sub-06,-0.02955665024630542,0.11056376573617953,0.04597701149425287,0.07334428024083196,1.0,-0.1647509578544061
sub-07,-0.13026819923371646,0.026272577996715927,-0.21127531472359057,-0.0049261083743842365,-0.1647509578544061,1.0
