run,condition,filter,pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
2,optimal,sub-09,yellow-purple,yellow-purple_sc0,0.8,0.015,0.015,8,20
2,optimal,sub-09,yellow-purple,yellow-purple_sc1,0.5,0.015,0.015,10,20
2,optimal,sub-09,blue-purple,blue-purple_sc0,0.8,0.15,0.0224,13,20
2,optimal,sub-09,blue-purple,blue-purple_sc1,0.5,0.105,0.0403,9,20
2,optimal,sub-09,red-orange,red-orange_sc0,0.8,0.07,0.0374,8,23
2,optimal,sub-09,red-orange,red-orange_sc1,0.5,0.055,0.0403,8,22
2,optimal,sub-09,cyan-magenta,cyan-magenta_sc0,0.8,0.015,0.015,9,20
2,optimal,sub-09,cyan-magenta,cyan-magenta_sc1,0.5,0.02,0.0224,9,20
2,optimal,sub-09,green-blue,green-blue_sc0,0.8,0.135,0.0472,9,20
2,optimal,sub-09,green-blue,green-blue_sc1,0.5,0.08,0.0458,8,23
2,optimal,sub-09,orange-yellow,orange-yellow_sc0,0.8,0.715,0.0502,8,29
2,optimal,sub-09,orange-yellow,orange-yellow_sc1,0.5,0.2,0.052,9,20
2,optimal,sub-09,yellow-green,yellow-green_sc0,0.8,0.055,0.0502,8,26
2,optimal,sub-09,yellow-green,yellow-green_sc1,0.5,0.065,0.0364,8,27
2,optimal,sub-09,red-cyan,red-cyan_sc0,0.8,0.02,0.0224,8,21
2,optimal,sub-09,red-cyan,red-cyan_sc1,0.5,0.025,0.0206,11,20
