subj_id,group,session,run,condition,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX009,1,2,1,window,no_filter,62,cyan-magenta_sc1,cyan-magenta,0.15,same,0,1.0773,1
CDX009,1,2,1,window,no_filter,63,red-cyan_sc1,red-cyan,0.12,different,1,0.79,2
CDX009,1,2,1,window,no_filter,64,blue-purple_sc0,blue-purple,0.2,different,1,1.0706,0
CDX009,1,2,1,window,no_filter,65,red-orange_sc0,red-orange,0.35,different,1,0.6934,0
CDX009,1,2,1,window,no_filter,66,orange-yellow_sc0,orange-yellow,0.2,different,1,0.5585,0
CDX009,1,2,1,window,no_filter,67,cyan-magenta_sc0,cyan-magenta,0.29,different,1,0.4933,2
CDX009,1,2,1,window,no_filter,68,blue-purple_sc0,blue-purple,0.05,different,1,0.4799,0
CDX009,1,2,1,window,no_filter,69,yellow-purple_sc0,yellow-purple,0.15,same,0,1.0084,1
CDX009,1,2,1,window,no_filter,70,red-cyan_sc0,red-cyan,0.35,different,1,0.5011,0
CDX009,1,2,1,window,no_filter,71,yellow-green_sc1,yellow-green,0.2,different,1,0.9926,0
CDX009,1,2,1,window,no_filter,72,orange-yellow_sc1,orange-yellow,0.35,same,0,1.23,1
CDX009,1,2,1,window,no_filter,73,yellow-green_sc1,yellow-green,0.05,different,1,0.5296,0
CDX009,1,2,1,window,no_filter,74,green-blue_sc0,green-blue,0.2,same,0,0.7604,1
CDX009,1,2,1,window,no_filter,75,orange-yellow_sc0,orange-yellow,0.05,different,1,0.6612,0
CDX009,1,2,1,window,no_filter,76,blue-purple_sc0,blue-purple,0.2,same,0,1.058,1
CDX009,1,2,1,window,no_filter,77,blue-purple_sc0,blue-purple,0.35,same,0,0.6298,1
CDX009,1,2,1,window,no_filter,78,orange-yellow_sc0,orange-yellow,0.2,same,0,0.6527,1
CDX009,1,2,1,window,no_filter,79,green-blue_sc0,green-blue,0.35,same,0,0.6703,1
CDX009,1,2,1,window,no_filter,80,cyan-magenta_sc0,cyan-magenta,0.26,different,1,0.6231,2
CDX009,1,2,1,window,no_filter,81,red-cyan_sc1,red-cyan,0.09,different,1,0.6469,2
CDX009,1,2,1,window,no_filter,82,yellow-green_sc0,yellow-green,0.2,different,1,0.7229,0
CDX009,1,2,1,window,no_filter,83,green-blue_sc0,green-blue,0.32,different,1,0.6759,2
CDX009,1,2,1,window,no_filter,84,blue-purple_sc0,blue-purple,0.32,different,1,0.5354,2
CDX009,1,2,1,window,no_filter,85,red-orange_sc1,red-orange,0.2,same,0,0.7309,3
CDX009,1,2,1,window,no_filter,86,yellow-purple_sc1,yellow-purple,0.05,different,1,0.4735,0
CDX009,1,2,1,window,no_filter,87,red-orange_sc1,red-orange,0.17,different,1,0.6962,4
CDX009,1,2,1,window,no_filter,88,orange-yellow_sc1,orange-yellow,0.32,different,1,0.5787,2
CDX009,1,2,1,window,no_filter,89,green-blue_sc1,green-blue,0.35,same,0,0.8827,1
CDX009,1,2,1,window,no_filter,90,cyan-magenta_sc0,cyan-magenta,0.23,different,1,0.6239,2
CDX009,1,2,1,window,no_filter,91,yellow-green_sc0,yellow-green,0.05,different,1,0.6567,0
CDX009,1,2,1,window,no_filter,92,cyan-magenta_sc0,cyan-magenta,0.2,different,1,0.6121,2
CDX009,1,2,1,window,no_filter,93,yellow-purple_sc1,yellow-purple,0.0,different,1,0.6013,0
CDX009,1,2,1,window,no_filter,94,yellow-purple_sc1,yellow-purple,0.15,same,0,0.7618,1
CDX009,1,2,1,window,no_filter,95,red-orange_sc1,red-orange,0.2,same,0,1.0432,5
CDX009,1,2,1,window,no_filter,96,red-cyan_sc0,red-cyan,0.2,different,1,1.0551,0
CDX009,1,2,1,window,no_filter,97,yellow-green_sc0,yellow-green,0.2,same,0,1.3074,1
CDX009,1,2,1,window,no_filter,98,cyan-magenta_sc1,cyan-magenta,0.3,same,0,1.4728,1
CDX009,1,2,1,window,no_filter,99,red-orange_sc1,red-orange,0.23,same,0,1.1982,5
CDX009,1,2,1,window,no_filter,100,orange-yellow_sc0,orange-yellow,0.17,different,1,1.0598,2
CDX009,1,2,1,window,no_filter,101,yellow-purple_sc0,yellow-purple,0.12,different,1,1.1316,2
CDX009,1,2,1,window,no_filter,102,green-blue_sc1,green-blue,0.32,different,1,0.5492,2
CDX009,1,2,1,window,no_filter,103,orange-yellow_sc0,orange-yellow,0.14,different,1,0.8455,2
CDX009,1,2,1,window,no_filter,104,cyan-magenta_sc1,cyan-magenta,0.27,different,1,0.5668,2
CDX009,1,2,1,window,no_filter,105,orange-yellow_sc1,orange-yellow,0.29,different,1,0.577,2
CDX009,1,2,1,window,no_filter,106,yellow-purple_sc0,yellow-purple,0.09,different,1,0.5118,2
CDX009,1,2,1,window,no_filter,107,red-cyan_sc0,red-cyan,0.05,different,1,0.575,0
CDX009,1,2,1,window,no_filter,108,red-orange_sc1,red-orange,0.2,different,1,0.5907,6
CDX009,1,2,1,window,no_filter,109,blue-purple_sc0,blue-purple,0.29,different,1,0.5069,2
CDX009,1,2,1,window,no_filter,110,yellow-green_sc1,yellow-green,0.2,same,0,0.8612,1
CDX009,1,2,1,window,no_filter,111,red-orange_sc1,red-orange,0.17,different,1,0.7179,6
CDX009,1,2,1,window,no_filter,112,yellow-green_sc0,yellow-green,0.17,different,1,0.567,2
CDX009,1,2,1,window,no_filter,113,green-blue_sc0,green-blue,0.35,same,0,1.2666,3
CDX009,1,2,1,window,no_filter,114,yellow-green_sc0,yellow-green,0.14,different,1,1.7486,2
CDX009,1,2,1,window,no_filter,115,blue-purple_sc0,blue-purple,0.26,different,1,0.4622,2
CDX009,1,2,1,window,no_filter,116,yellow-purple_sc0,yellow-purple,0.06,different,1,0.489,2
CDX009,1,2,1,window,no_filter,117,red-orange_sc0,red-orange,0.2,different,1,0.5931,0
CDX009,1,2,1,window,no_filter,118,yellow-green_sc1,yellow-green,0.17,different,1,0.4448,2
CDX009,1,2,1,window,no_filter,119,red-orange_sc1,red-orange,0.14,different,1,0.5197,6
CDX009,1,2,1,window,no_filter,120,yellow-purple_sc0,yellow-purple,0.03,different,1,0.4436,2
CDX009,1,2,1,window,no_filter,121,yellow-green_sc0,yellow-green,0.11,different,1,1.2877,2
CDX009,1,2,1,window,no_filter,122,blue-purple_sc1,blue-purple,0.15,different,1,0.7283,4
CDX009,1,2,1,window,no_filter,123,red-cyan_sc0,red-cyan,0.0,different,1,0.6109,0
CDX009,1,2,1,window,no_filter,124,yellow-green_sc1,yellow-green,0.14,different,1,0.7929,2
CDX009,1,2,1,window,no_filter,125,red-cyan_sc0,red-cyan,0.15,same,0,0.6657,1
CDX009,1,2,1,window,no_filter,126,red-cyan_sc0,red-cyan,0.12,different,1,0.6582,2
CDX009,1,2,1,window,no_filter,127,cyan-magenta_sc0,cyan-magenta,0.17,different,1,0.7322,2
CDX009,1,2,1,window,no_filter,128,red-cyan_sc0,red-cyan,0.09,different,1,0.6541,2
CDX009,1,2,1,window,no_filter,129,green-blue_sc0,green-blue,0.38,same,0,1.0277,3
CDX009,1,2,1,window,no_filter,130,red-orange_sc0,red-orange,0.05,different,1,0.5267,0
CDX009,1,2,1,window,no_filter,131,yellow-green_sc0,yellow-green,0.08,different,1,0.5089,2
CDX009,1,2,1,window,no_filter,132,green-blue_sc1,green-blue,0.35,same,0,0.6598,3
CDX009,1,2,1,window,no_filter,133,green-blue_sc1,green-blue,0.32,different,1,0.5352,4
CDX009,1,2,1,window,no_filter,134,blue-purple_sc0,blue-purple,0.23,different,1,0.566,2
CDX009,1,2,1,window,no_filter,135,orange-yellow_sc0,orange-yellow,0.17,same,0,0.7185,3
CDX009,1,2,1,window,no_filter,136,cyan-magenta_sc0,cyan-magenta,0.14,different,1,0.5736,2
CDX009,1,2,1,window,no_filter,137,red-cyan_sc1,red-cyan,0.06,different,1,0.5647,2
CDX009,1,2,1,window,no_filter,138,yellow-green_sc0,yellow-green,0.11,same,0,0.6583,3
CDX009,1,2,1,window,no_filter,139,cyan-magenta_sc0,cyan-magenta,0.17,same,0,0.7425,3
CDX009,1,2,1,window,no_filter,140,yellow-purple_sc0,yellow-purple,0.0,different,1,0.4982,2
CDX009,1,2,1,window,no_filter,141,cyan-magenta_sc1,cyan-magenta,0.24,different,1,0.5254,2
CDX009,1,2,1,window,no_filter,142,blue-purple_sc0,blue-purple,0.2,different,1,0.4652,2
CDX009,1,2,1,window,no_filter,143,yellow-purple_sc0,yellow-purple,0.03,same,0,0.671,3
CDX009,1,2,1,window,no_filter,144,yellow-purple_sc0,yellow-purple,0.06,same,0,1.084,3
CDX009,1,2,1,window,no_filter,145,yellow-purple_sc0,yellow-purple,0.03,different,1,0.5442,4
CDX009,1,2,1,window,no_filter,146,orange-yellow_sc1,orange-yellow,0.26,different,1,0.86,2
CDX009,1,2,1,window,no_filter,147,red-orange_sc1,red-orange,0.17,same,0,0.7223,7
CDX009,1,2,1,window,no_filter,148,orange-yellow_sc0,orange-yellow,0.2,same,0,0.6542,3
CDX009,1,2,1,window,no_filter,149,orange-yellow_sc1,orange-yellow,0.29,same,0,0.6242,3
CDX009,1,2,1,window,no_filter,150,red-cyan_sc1,red-cyan,0.03,different,1,0.6797,2
CDX009,1,2,1,window,no_filter,151,green-blue_sc0,green-blue,0.35,different,1,0.5286,4
CDX009,1,2,1,window,no_filter,152,blue-purple_sc0,blue-purple,0.17,different,1,0.5371,2
CDX009,1,2,1,window,no_filter,153,yellow-green_sc0,yellow-green,0.08,different,1,0.5379,4
CDX009,1,2,1,window,no_filter,154,yellow-green_sc1,yellow-green,0.11,different,1,0.6775,2
CDX009,1,2,1,window,no_filter,155,yellow-purple_sc0,yellow-purple,0.0,different,1,0.5444,4
