run,condition,filter,pair_name,staircase_id,start_level,jnd_mean,jnd_std,n_reversals,n_trials
1,window,no_filter,yellow-purple,yellow-purple_sc0,0.8,0.02,0.0224,8,20
1,window,no_filter,yellow-purple,yellow-purple_sc1,0.5,0.015,0.015,10,20
1,window,no_filter,blue-purple,blue-purple_sc0,0.8,0.135,0.032,8,22
1,window,no_filter,blue-purple,blue-purple_sc1,0.5,0.11,0.0224,12,20
1,window,no_filter,red-orange,red-orange_sc0,0.8,0.11,0.0224,9,20
1,window,no_filter,red-orange,red-orange_sc1,0.5,0.145,0.0559,10,20
1,window,no_filter,cyan-magenta,cyan-magenta_sc0,0.8,0.15,0.0224,8,20
1,window,no_filter,cyan-magenta,cyan-magenta_sc1,0.5,0.14,0.0224,8,20
1,window,no_filter,green-blue,green-blue_sc0,0.8,0.26,0.0714,8,21
1,window,no_filter,green-blue,green-blue_sc1,0.5,0.225,0.032,10,20
1,window,no_filter,orange-yellow,orange-yellow_sc0,0.8,0.17,0.0346,9,20
1,window,no_filter,orange-yellow,orange-yellow_sc1,0.5,0.185,0.015,11,20
1,window,no_filter,yellow-green,yellow-green_sc0,0.8,0.0567,0.035,8,21
1,window,no_filter,yellow-green,yellow-green_sc1,0.5,0.05,0.0346,8,21
1,window,no_filter,red-cyan,red-cyan_sc0,0.8,0.03,0.0245,9,20
1,window,no_filter,red-cyan,red-cyan_sc1,0.5,0.04,0.0224,10,20
