subj_id,group,session,run,condition,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX009,1,2,2,optimal,sub-09,1,cyan-magenta_sc0,cyan-magenta,0.65,different,1,1.3042,0
CDX009,1,2,2,optimal,sub-09,2,red-orange_sc1,red-orange,0.35,different,1,0.4287,0
CDX009,1,2,2,optimal,sub-09,3,green-blue_sc0,green-blue,0.65,different,1,0.3686,0
CDX009,1,2,2,optimal,sub-09,4,blue-purple_sc0,blue-purple,0.65,different,1,0.3416,0
CDX009,1,2,2,optimal,sub-09,5,yellow-green_sc0,yellow-green,0.65,different,1,0.3286,0
CDX009,1,2,2,optimal,sub-09,6,red-orange_sc0,red-orange,0.65,different,1,0.3782,0
CDX009,1,2,2,optimal,sub-09,7,yellow-purple_sc1,yellow-purple,0.35,different,1,0.3368,0
CDX009,1,2,2,optimal,sub-09,8,red-orange_sc1,red-orange,0.2,different,1,0.3408,0
CDX009,1,2,2,optimal,sub-09,9,yellow-purple_sc0,yellow-purple,0.65,different,1,0.2762,0
CDX009,1,2,2,optimal,sub-09,10,green-blue_sc1,green-blue,0.35,different,1,0.6517,0
CDX009,1,2,2,optimal,sub-09,11,cyan-magenta_sc1,cyan-magenta,0.35,different,1,0.4124,0
CDX009,1,2,2,optimal,sub-09,12,orange-yellow_sc1,orange-yellow,0.35,different,1,0.7488,0
CDX009,1,2,2,optimal,sub-09,13,yellow-green_sc0,yellow-green,0.5,different,1,0.3696,0
CDX009,1,2,2,optimal,sub-09,14,red-cyan_sc0,red-cyan,0.65,different,1,0.3754,0
CDX009,1,2,2,optimal,sub-09,15,blue-purple_sc0,blue-purple,0.5,different,1,0.4185,0
CDX009,1,2,2,optimal,sub-09,16,red-cyan_sc0,red-cyan,0.5,different,1,0.3651,0
CDX009,1,2,2,optimal,sub-09,17,orange-yellow_sc0,orange-yellow,0.65,different,1,0.2642,0
CDX009,1,2,2,optimal,sub-09,18,blue-purple_sc1,blue-purple,0.35,different,1,0.2627,0
CDX009,1,2,2,optimal,sub-09,19,orange-yellow_sc0,orange-yellow,0.5,different,1,0.3429,0
CDX009,1,2,2,optimal,sub-09,20,green-blue_sc0,green-blue,0.5,different,1,0.269,0
CDX009,1,2,2,optimal,sub-09,21,red-cyan_sc0,red-cyan,0.35,different,1,0.2514,0
CDX009,1,2,2,optimal,sub-09,22,red-cyan_sc0,red-cyan,0.2,different,1,0.3655,0
CDX009,1,2,2,optimal,sub-09,23,orange-yellow_sc0,orange-yellow,0.35,different,1,0.3266,0
CDX009,1,2,2,optimal,sub-09,24,orange-yellow_sc1,orange-yellow,0.2,different,1,0.6308,0
CDX009,1,2,2,optimal,sub-09,25,red-orange_sc0,red-orange,0.5,different,1,0.4219,0
CDX009,1,2,2,optimal,sub-09,26,orange-yellow_sc1,orange-yellow,0.05,different,1,0.6354,0
CDX009,1,2,2,optimal,sub-09,27,blue-purple_sc1,blue-purple,0.2,different,1,0.3887,0
CDX009,1,2,2,optimal,sub-09,28,cyan-magenta_sc0,cyan-magenta,0.5,different,1,0.3689,0
CDX009,1,2,2,optimal,sub-09,29,yellow-green_sc1,yellow-green,0.35,different,1,0.391,0
CDX009,1,2,2,optimal,sub-09,30,red-orange_sc1,red-orange,0.05,different,1,0.3998,0
CDX009,1,2,2,optimal,sub-09,31,yellow-green_sc1,yellow-green,0.2,different,1,0.3312,0
CDX009,1,2,2,optimal,sub-09,32,cyan-magenta_sc0,cyan-magenta,0.35,different,1,0.4464,0
CDX009,1,2,2,optimal,sub-09,33,yellow-purple_sc0,yellow-purple,0.5,different,1,0.4006,0
CDX009,1,2,2,optimal,sub-09,34,cyan-magenta_sc1,cyan-magenta,0.2,different,1,0.3508,0
CDX009,1,2,2,optimal,sub-09,35,cyan-magenta_sc1,cyan-magenta,0.05,different,1,0.3863,0
CDX009,1,2,2,optimal,sub-09,36,orange-yellow_sc0,orange-yellow,0.2,different,1,0.7195,0
CDX009,1,2,2,optimal,sub-09,37,orange-yellow_sc0,orange-yellow,0.35,same,0,0.9709,1
CDX009,1,2,2,optimal,sub-09,38,red-orange_sc0,red-orange,0.35,different,1,0.4183,0
CDX009,1,2,2,optimal,sub-09,39,green-blue_sc0,green-blue,0.35,different,1,0.3997,0
CDX009,1,2,2,optimal,sub-09,40,cyan-magenta_sc0,cyan-magenta,0.2,different,1,0.372,0
CDX009,1,2,2,optimal,sub-09,41,cyan-magenta_sc1,cyan-magenta,0.0,different,1,0.4724,0
CDX009,1,2,2,optimal,sub-09,42,cyan-magenta_sc0,cyan-magenta,0.05,different,1,0.4084,0
